""gameID"",""batchID"",""medianVote"",""name"",""index"",""start"",""ended"",""stageIndex"",""displayResult"",""taxBenefit""
""01HNYY8N07XFGPCPTE1949ZBQZ"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""89"",""Round 1"",""0"",""true"",""true"",""1"",""false"",""16""
""01HNYY8N07XFGPCPTE1949ZBQZ"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""89"",""Round 2"",""1"",""true"",""true"",""1"",""true"",""16""
""01HNYY8N07XFGPCPTE1949ZBQZ"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""17"",""Round 3"",""2"",""true"",""true"",""2"",""true"",""3""
