""endedReason"",""batchID"",""groupID"",""roundIndex"",""status"",""stageID"",""lobbyTimerID"",""treatment"",""start"",""ended"",""currentMedianVote""
""end of game"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""01HNYY8N0BGBAN29NY5ZQKXC07"",""2"",""ended"","""",""01HNYY9XMJ68GVA6797FHX243Y"","""{\""netType\"":\""complete\"",\""playerCount\"":2}""",""true"",""true"",""17""
""shared lobby timeout"",""01HNZ1P0BW04YK816YNVDE5ZFQ"",""01HNZ1P0C83Q1GGKQV8C68SKQP"",,""failed"",,""01HNZ1QBG19BZY4ARSKNS1714T"","""{\""netType\"":\""complete\"",\""playerCount\"":2}""",""false"",""false"",
