""name"",""roundID"",""index"",""duration"",""batchID"",""ended"",""timerID"",""started"",""gameID"",""start""
""vote"",""01HNYYE7D9WPN54P8N70KGR0KW"",""0"",""300"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""true"",""01HNYYE7DHHM1Q8CG0XVR881YQ"",""true"",""01HNYY8N07XFGPCPTE1949ZBQZ"",""true""
""vote"",""01HNYYE7D9WPN54P8N7B12WNYT"",""0"",""300"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""true"",""01HNYYE7DN21DXZG5YFEB0V0DR"",""true"",""01HNYY8N07XFGPCPTE1949ZBQZ"",""true""
""vote"",""01HNYYE7D9WPN54P8N7P6TQ6YD"",""0"",""300"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""true"",""01HNYYE7E43KZAKZR2DWHQWAJC"",""true"",""01HNYY8N07XFGPCPTE1949ZBQZ"",""true""
""finalOutcome"",""01HNYYE7D9WPN54P8N7P6TQ6YD"",""1"",""300"",""01HNYY8MZXAGP5P2EVF1P5PGN0"",""true"",""01HNYYE7F0RQ7FGBWDDZMSES15"",""true"",""01HNYY8N07XFGPCPTE1949ZBQZ"",""true""
